speaker,gender,vowel,f0,f1,f2,f3,quality
john_wells,m,15,123.891020955816,316.592764881418,1059.51223775602,2311.68661738946,ok
john_wells,m,16,134.174078847561,266.661387295016,1101.42990638558,2154.28888999145,ok
john_wells,m,17,124.302744323614,304.92834044638,1730.86596649511,2237.57085698932,ok
john_wells,m,18,125.332610481645,251.743046018127,1498.7675723289,1996.67868128608,ok
john_wells,m,19,136.666163519221,375.426871832486,1913.17056093139,2444.47661009145,ok
john_wells,m,20,125.883981308193,284.076203575948,1526.96493830542,1988.60134160038,ok
john_wells,m,21,131.571315731205,384.381509964296,804.393403622101,2296.85558949724,ok
john_wells,m,22,119.77886918511,356.263337229597,1269.28955730438,2377.29621947587,ok
john_wells,m,23,119.461628387667,336.655949269425,1279.19237320233,1934.17880519227,ok
john_wells,m,24,116.560594044743,473.061120533386,1278.75942514742,2536.62487206696,ok
john_wells,m,25,128.888987491613,570.141004840372,1164.3875067208,2608.22189000854,ok
john_wells,m,26,116.93121414129,601.197263848749,1327.69216944016,1922.44212420704,ok
john_wells,m,27,127.438214412897,931.799182789974,1722.53992089905,2507.27122536596,ok
john_wells,m,28,121.48729938658,497.929125708285,1205.07166792151,2641.35693717117,ok
jonathan_dowse,m,1,101.73057455426,217.505554183829,2363.5458382846,3237.04552350586,ok
jonathan_dowse,m,2,108.770760442001,528.189135046981,2255.5316677616,2926.70231736416,ok
jonathan_dowse,m,3,100.92969557621,671.751212586203,1969.17932096859,2847.63404766052,ok
jonathan_dowse,m,4,103.183088009807,923.081657697843,1588.76437104737,3049.88264252056,ok
jonathan_dowse,m,5,100.553567673813,602.088161782668,1045.85091081723,2839.44391771297,ok
jonathan_dowse,m,6,102.8977403969,521.3890787485,824.7858731191,2708.28891547,ok
jonathan_dowse,m,7,108.0631138884,408.373039798689,611.559173263022,2614.29540961031,ok
jonathan_dowse,m,8,104.0627354046,260,500,2350,ok
jonathan_dowse,m,9,102.686337600008,217.123493076967,2232.17596823674,2883.06487973745,ok
jonathan_dowse,m,10,105.977700227114,336.930884112773,2050.18202158668,2616.52633415219,ok
jonathan_dowse,m,11,97.4163457120199,586.442669367664,1872.26498667252,2647.09733752662,ok
jonathan_dowse,m,12,103.40369973081,684.80056574487,1335.44772531382,2428.7385426314,ok
jonathan_dowse,m,13,103.047929388439,537.978318098662,660.262808868618,2623.89945311459,ok
jonathan_dowse,m,14,102.07771343678,559.93498812246,1051.8526411465,2904.82604557211,ok
jonathan_dowse,m,15,105.852230983032,513.2221742487,1133.43035752825,2946.29373503947,ok
jonathan_dowse,m,16,105.398051734821,291.574803416646,1158.0735481235,2494.96758720899,ok
jonathan_dowse,m,17,100.488596907052,304.574724368927,1777.82051950157,2260.12635303187,ok
jonathan_dowse,m,18,105.677831295064,276.051537846171,1716.13168262587,2223.47717749153,ok
