phonetician,gender,vowel,f0,f1,f2,f3
Jonathan Dowse,m,26,102.417179295021,590,1230,2350
Jonathan Dowse,m,27,99.7690668631499,800,1790,2650
Jonathan Dowse,m,28,103.629090679401,675.655795387531,1150,2657.63784108077
Peter Ladefoged 1,m,1,122.516610103112,299.101344075971,2500,3500
Peter Ladefoged 1,m,2,114.21183184568,401.121478300012,2300,2600
Peter Ladefoged 1,m,3,114.89600169153,517.217310914551,1820,2480
Peter Ladefoged 1,m,4,121.764713605841,825.958725353502,1270,2400
Peter Ladefoged 1,m,5,105.149866947125,692.52547614226,1000,2780
Peter Ladefoged 1,m,6,108.9384293572,457.4434459451,810.8713624012,2610
Peter Ladefoged 1,m,7,103.9672249687,345.4817773489,691.5016931906,2600
Peter Ladefoged 1,m,8,108.2855403374,300,500,2330
Peter Ladefoged 1,m,9,142.526879075093,315.915898174058,2100,2480
Peter Ladefoged 1,m,10,118.644338231134,400,1750,2100
Peter Ladefoged 1,m,11,106.76222412241,533,1320,2170
Peter Ladefoged 1,m,12,111.343686881101,595,1160,2030
Peter Ladefoged 1,m,13,114.469378060601,488.566798723053,686.752860011377,2600
Peter Ladefoged 1,m,14,113.286362879335,533.661964931279,838.720535668337,2800
Peter Ladefoged 1,m,15,115.563043734538,429.514060691096,980,2800
Peter Ladefoged 1,m,16,117.873296548347,374.342269693398,1150,2950
Peter Ladefoged 1,m,17,127.409341999227,350.618555439399,2190,2650
Peter Ladefoged 1,m,18,114.090728582079,344.086918820816,1880,2370
Peter Ladefoged 1,m,19,147.294596373022,405.417921958666,2200,2700
Peter Ladefoged 1,m,20,124.857710603213,372.244417485349,1855.12772234009,2380
Peter Ladefoged 1,m,21,161.205726871755,413.623169990999,665.648146109221,2550
Peter Ladefoged 1,m,22,122.708242705574,420,1370,2550
Peter Ladefoged 1,m,23,110.642088815455,450,1200,2390
Peter Ladefoged 1,m,24,91.287395259915,450,1100,2400
Peter Ladefoged 1,m,25,123.464165621983,440,1360,2480
Peter Ladefoged 1,m,26,111.891104638067,435,1300,2400
Peter Ladefoged 1,m,27,120.289250507723,623.770301782185,1502.13574181058,2410
Peter Ladefoged 1,m,28,119.763800994303,545,1150,2430
Peter Ladefoged 2,m,1,92.1595220707274,286.169244141332,2112.96159769076,3400
Peter Ladefoged 2,m,2,92.6963463131403,417.104814583639,1938.53453593262,2739.99434886572
